nummer regis/geotop laag,naam regis/geotop laag,nummer bijbehorende pwm modellaag,naam bijbehorende pwn modellaag,combinatie naam
regis/geotop_lay,regis/geotop_lay_nam,pwn_lay,pwn_lay_nam,comb_name
0,AAOP,,,AAOP
1,NASC,1,,NASC
2,ONAWA,1,,ONAWA
3,NAZA,1,,NAZA
4,NAWA,2,,NAWA
5,NAWOBE,3,,NAWOBE
6,NIHO,,,NIHO
7,NAWO,4,,NAWO
8,NAWOVE,5,,NAWOVE
9,NIBA,,,NIBA
10,BXWISIKO,,,BXWISIKO
11,BX,6,,BX
12,KRBXDE,,,KRBXDE
13,EE,,,EE
14,DR,,,DR
15,DRGI,,,DRGI
16,UR,,,UR
17,BXz2,,,BXz2
18,BXk1,,,BXk1
19,BXz3,,,BXz3
21,BXz4,,,BXz4
22,KRz2,,,KRz2
23,KRk1,,,KRk1
24,KRz3,,,KRz3
26,EEz1,7,,EEz1
27,EEk1,8,,EEk1
28,EEz2,,,EEz2
29,EEk2,9,,EEk2
30,EEz3,,,EEz3
31,DRz1,,,DRz1
32,DRUIk1,10,,DRUIk1
33,DRz2,,,DRz2
34,DRGIk1,,,DRGIk1
35,DRz3,,,DRz3
40,URz2,,,URz2
41,URk2,,,URk2
42,URz3,11,,URz3
47,URz4,,,URz4
48,URk3,,,URk3
49,URz5,12,,URz5
50,STz1,13,,STz1
51,STk1,,,STk1
52,STz2,,,STz2
53,APz1,,,APz1
54,PZWAz1,,,PZWAz1
55,WAk1,,,WAk1
56,PZWAz2,14,,PZWAz2
57,WAk2,,,WAk2
58,PZk1,,,PZk1
59,PZWAz3,15,,PZWAz3
61,PZc,REGIS,,PZc
62,PZWAz4,REGIS,,PZWAz4
63,MSz1,REGIS,,MSz1
64,MSk1,REGIS,,MSk1
65,MSz2,REGIS,,MSz2
66,MSk2,REGIS,,MSk2
67,MSz3,REGIS,,MSz3
68,MSc,REGIS,,MSc
69,MSz4,REGIS,,MSz4
70,OOz1,REGIS,,OOz1
71,OOk1,REGIS,,OOk1
72,OOz2,REGIS,,OOz2
73,OOc,REGIS,,OOc
74,BRk1,REGIS,,BRk1
