,Dominant,Cluster,Profiel,Bodem,c,w1rz,w2rz,zcrit2,qcrit,intw0,intk0,pindex,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,O01,O02,O03,O04,O05,O06,O07,O08,O09,O10,O11,O12,O13,O14,O15,O16,O17,O18
,1,1001,1050,hVc,34.2095,3.9121,8.1272,77.842,0.0385,4725.0645,32.2857,0.199,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,234.0,
,0,1001,1020,ohVb,33.5004,3.0923,6.8984,77.841,0.0287,4853.6494,30.1094,0.1917,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,345.0,
,0,1001,1260,zVc,31.0443,4.0723,7.0621,77.842,0.0255,4168.8303,81.3149,0.2125,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,
,1,1002,1100,aVz,18.5123,5.0083,8.71,97.5585,0.1178,2876.0797,145.842,0.2543,,,,,,,,,,,,,,,,1.0,,,,4.0,,,,,,,,,,,,,,,23.0,
,0,1002,1110,faVz,18.5123,5.0083,8.71,97.5585,0.1178,2876.0797,145.842,0.2543,,,,,,,,,,,,,,,,1.0,,,,4.0,,,,,,,,,,,,,,,23.0,
,0,1002,1111,faVzt,29.2137,5.0083,8.71,95.2182,0.116,2967.1363,126.5739,0.2739,,,,,,,,,,,,,,,,1.0,,,,4.0,,,,,,,,,,,,5.0,,,23.0,
,0,1002,1310,Vz,23.9667,5.0617,9.2142,85.4144,0.1067,3389.6304,112.0854,0.2409,,,,,,,,,,,,,,,,1.0,,,,4.0,,,,,,,,,,,,,,,23.0,
,1,1003,1300,dVk,23.122,4.3305,8.7621,54.6426,0.0375,5360.6696,23.2161,0.1435,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,4.0,,,,23.0,
,1,1004,1060,hVk,65.4657,3.5022,7.5128,55.2925,0.0262,4947.5992,19.5902,0.1612,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,4,,,,,23.0,
,1,1005,1340,iVz,17.6765,3.916,6.8127,97.842,0.1621,2608.1947,209.7859,0.2683,,,,,,,,,,,,,,,1.0,,,,,5.0,4.0,,,,,,,,,,,,,,23.0,
,0,1005,1255,zVz,17.3909,3.8304,5.7245,92.8521,0.1413,2586.5407,207.1355,0.2591,,,,1.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,23.0,
,1,1006,1281,Vs,75.968,5.4555,9.9217,65.8344,0.0649,3692.6821,26.4572,0.2742,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,23.0,,
,0,1006,1030,hVs,75.1342,4.6544,8.8459,65.8344,0.0362,3806.6343,24.038,0.2664,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,23.0,,
,0,1006,1040,hVsc,75.1342,4.6544,8.8459,65.8345,0.0362,3806.6343,24.038,0.2664,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,23.0,,
,0,1006,1282,Vs,76.0165,6.0649,10.2985,65.8345,0.0784,3486.4298,30.2555,0.281,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,23.0,,
,1,1007,1330,iVc,29.6231,3.916,6.8127,77.8417,0.1267,4160.7573,112.5961,0.2102,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,23.0,
,0,1007,1265,zVc,28.6413,3.8304,5.7245,77.842,0.1163,3926.5711,113.8953,0.2199,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,
,1,1008,1230,kVz,19.8299,1.8148,4.4193,63.5804,0.0246,3576.3745,189.0195,0.3217,,,,,,,,,,,,,,,,,1.0,,45,,,,,,,,,,,,2.0,,,,3.0,
,1,1009,1275,AVk-F,3.615,3.0027,4.1537,141.6684,0.0313,1569.4426,422.2398,0.3481,,1.0,,,,,,,,,,,,,,,,,45,3.0,,,,,,,,,,,,,,,,2.0
,1,1010,1290,Vc,32.6589,4.3305,8.7621,77.8417,0.0728,4679.3791,35.0072,0.2024,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,23.0,
,0,1010,1080,aVc,32.078,5.0417,9.0251,77.8419,0.098,4406.7986,40.5689,0.2105,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,23.0,
,0,1010,1090,faVc,32.078,5.0417,9.0251,77.8419,0.098,4406.7986,40.5689,0.2105,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,23.0,
,1,1011,1350,iVp,27.0572,4.4109,7.2918,99.569,0.1579,1626.6336,342.8533,0.4312,,,,,,,,,,,,,,,1.0,,,,45,3.0,,,,,,,,,,,,,,2.0,,
,1,1012,1170,pVc,39.0037,2.8144,6.156,81.9675,0.0472,4423.1489,78.6504,0.199,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,2,,,,,45.0,3.0
,0,1012,1140,opVb,37.3806,2.5923,5.8037,77.841,0.0449,4395.8055,31.3992,0.1987,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,34.0,
,0,1012,1160,opVc,43.4221,2.4952,5.7626,73.869,0.042,4441.482,29.8092,0.1939,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,3,,,,,45.0,
,0,1012,1225,kVc,37.3806,2.5923,5.8037,77.841,0.0449,4395.8055,31.3992,0.1987,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,34.0,
,1,1013,1320,Vp,42.8225,5.9526,10.0766,79.6028,0.0964,2435.6303,138.6095,0.2912,,,,,,,,,,,,,,,,1.0,,,,456.0,,,,,,,,,,,,,,23.0,,
,0,1013,1120,aVp,31.6285,5.5032,9.1891,91.421,0.112,2052.9885,222.4158,0.3738,,,,,,,,,,,,,,,,1.0,,,5,34.0,,,,,,,,,,,,,,2.0,,
,1,1014,1270,zVp,39.8469,4.2107,6.5717,75.4664,0.0237,2051.17,244.4854,0.3729,,1.0,,,,,,,,,,,,,,,,,45,3.0,,,,,,,,,,,,,,2.0,,
,1,1015,1200,kVs,65.588,1.728,4.2329,65.8344,0.0263,4147.597,21.5516,0.236,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,,,34.0,,
,0,1015,1150,pVs,64.0977,2.878,5.601,65.8344,0.0427,3705.3212,72.6759,0.2553,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,,,45.0,,3.0
,0,1015,1210,kVsc,65.588,1.728,4.2329,65.8344,0.0263,4147.597,21.5516,0.236,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,,,34.0,,
,1,1016,1180,pVz,19.8972,3.102,6.4502,97.8732,0.0363,3124.1235,240.3802,0.3467,,,,,,,,,,,,,,,,,12.0,,5,,,,,,,,,,,,,,,,4.0,3.0
,0,1016,1235,kVz,27.4148,2.5923,5.8037,89.8787,0.047,2970.7627,192.9403,0.3471,,,,,,,,,,,,,,,,,1.0,,45,,,,,,,,,2.0,,,,,,,3.0,
,1,1017,1070,hVz,23.5322,3.5022,7.5128,89.1995,0.0338,3873.5336,136.1596,0.2167,,,,,,,,,,,,,,,,,1.0,,,5.0,,,,,,,,,,,,,,,23.0,4.0
,0,1017,1071,hVzc,23.5322,3.5022,7.5128,89.1995,0.0338,3873.5336,136.1596,0.2167,,,,,,,,,,,,,,,,,1.0,,,5.0,,,,,,,,,,,,,,,23.0,4.0
,0,1017,1072,hVzx,23.2626,3.5022,7.5128,89.0351,0.0338,3982.4765,134.2831,0.1987,,,,,,,,,,,,,,,,,1.0,,,,,,,5.0,,,,,,,,,,,23.0,4.0
,0,1017,1250,zVz,19.7938,4.0723,7.0621,92.8521,0.0273,2828.7999,174.5551,0.2517,,1.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,23.0,
,1,1018,1130,pVb,29.4362,1.6847,4.1397,61.1766,0.025,5003.7193,27.4239,0.172,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,23.0,,,,45.0,
,0,1018,1010,hVb,32.7912,2.6824,6.284,50.9093,0.0235,4982.2342,27.933,0.1844,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,34.0,
